id,question,answer,label
1, How many times India won the ODI World Cup ?, 2 times,Cricket
2, Which are the only two countries won ODI World Cup  times ?, India & West Indies,Cricket
3, Which Cricketer is known as Rawalpindi Express ?, Shoaib Akhtar,Cricket
4, Which Cricketer is Known as Little Master ?, Sunil Manohar Gavaskar,Cricket
5," Which Cricketer is known as ""Multan ka Sultan"" ?", Virender Sehwag,Cricket
6, Which is the largest International Cricket Stadium in the World ?, Motera Stadium in India,Cricket
7, Which is the smallest International Cricket Stadium in the World ?, Eden Park in New Zealand,Cricket
8, When was the First One Day International(ODI) match played ?," 5th Jan, 1971",Cricket
9, When was the First Official Test match played ?, 1877,Cricket
10, Which Country won the  ODI World Cup ?, India,Cricket
11, Which is the oldest Test Cricket playing country in the World ?, England,Cricket
12, Which is the World's Oldest Cricket Ground ?," The Lord's Cricket Stadium, England",Cricket
13, Which Country won the  ODI World Cup ?, Australia,Cricket
14, What should be the dimension of a Cricket Field ?, There is no fixed dimension for the field It usually varies between 437 feet to 500 feet,Cricket
15, Which Cricketer hit the World's Fastest  in ODI Cricket ?, AB de Viliers,Cricket
16, Which Cricketer hit the World's Fastest  in ODI Cricket ?, AB de Viliers,Cricket
17, Who is the highest wicket taker of ODI Cricket ?, Muttiah Muralitharan,Cricket
18, Which Country won the  ODI World Cup ?, Australia,Cricket
19, Who is the highest wicket taker of Test Cricket ?, Muttiah Muralitharan,Cricket
20, Who is the highest wicket taker in T Cricket ?, Lasith Malinga,Cricket
21, Which Country won the most number of World Cup Titles ?, Australia,Cricket
22, Who is the current CEO of ICC ?, Manu Shawhney,Cricket
23, Which Player won the Man of the Tournament in ICC World T ?, Virat Kohli,Cricket
24, Which country won the most number of ICC T World Cup ?, West Indies,Cricket
25, Which Cricketer made the most number of ODI Runs in  over ?, Sachin Tendulkar,Cricket
26, Which Cricketer hit the highest Test Score ?, Brian Lara,Cricket
27, Which Cricketer has the highest runs in Test Cricket ?, Sachin Tendulkar,Cricket
28, Which Country won the  ODI World Cup ?, India,Cricket
29, What was the official name of the First World Cup ?, Prudential World Cup,Cricket
30, Which Cricketer has maximum number of Sixes in ODI ?, Shahid Afridi,Cricket
31, Which country won the First World Cup in  ?, West Indies,Cricket
32, What is the England highest test score against India ?, 759/7d,Cricket
33, Who made the highest First Wicket Partnership in an ODI match ?, JD Campbell and SD Hope(West Indies),Cricket
34, Who made the highest First Wicket Partnership in a Test match ?, Graeme Smith and Neil Mckenzie(South Africa),Cricket
35, Which Country won the  ODI World Cup ?, India,Cricket
36," Which is the First Indian Player to cross , ODI runs ?", Sachin Tendulkar,Cricket
37, Which is the First Player to cross  Test Wickets ?, Courtney Walsh,Cricket
38, Who is the First Cricketer to Score a Double Century in an ODI ?, Sachin Tendulkar,Cricket
39, Who is the First Cricketer to Score a Double Century in a Test Match ?, Don Bradman,Cricket
40," Which National Cricket Team is also known as ""The Proteas"" ?", South Africa,Cricket
41, Which Country has played the maximum number of ODI matches ?, India,Cricket
42, Which Country has played the maximum number of Test matches ?, Australia,Cricket
43, Who was the First Captain of Australian Cricket Team ?, Dave Gregory,Cricket
44, Who was the First Captain of England Cricket Team ?, James Lillywhite,Cricket
45, Which Country won the  ODI World Cup ?, Sri Lanka,Cricket
46, Which Cricketer has the highest Individual score in Test Cricket ?, Brian Lara,Cricket
47, Which Cricketer has the highest Individual score in ODI Cricket ?, RG Sharma,Cricket
48, When was the First Day-Night match played ?, 1992,Cricket
49, Which Cricketer has the most number of catches in ODI cricket ?, Mahela Jayawardene,Cricket
50, Who is the First Cricketer to take a hat-trick in World Cup ?, Chetan Sharma,Cricket
51, Which is the First Cricket Club in India ?, Oriental Cricket Club,Cricket
52, Which is the First Cricket Club in Australia ?, Melbourne Cricket Club,Cricket
53, Which is the First Cricket Club in England ?, Marylebone Cricket Club,Cricket
54, Which is the First Indian Cricketer to score a triple century in Tests ?, Virendra Sehwag,Cricket
55, Which Cricketer scored First Triple Century in a Test match ?, Andy Sandham,Cricket
56, Who is the First-Ever woman appointed as a referee ?, GS Lakshmi,Cricket
57," Which Award is called ""Oscar of Cricket"" ?", ICC Award,Cricket
58," Which Magazine is called the ""Bible of Cricket"" ?", Wisden,Cricket
59, Which player has the highest stumping record in ODI matches ?, MS Dhoni,Cricket
60, Who is the First Woman to score a double century in Test Cricket ?, Kirsty Flavell,Cricket
61,Which country is called the ‘father of the game of cricket’?, England,Cricket
62,What is the weight of the ball used in cricket?," 155 grams, 168 grams",Cricket
63,What is the circumference of a cricket ball?, 20.79 cm to 22.8 cm,Cricket
64,What is the maximum permissible length of bat in cricket?, 38 inches,Cricket
65,What is the height of the stump from the ground in cricket?, 28 inches,Cricket
66,What is the length of a cricket pitch?, 20.12 m,Cricket
67,On the basis of which rule is the decision of winning or losing in a cricket match interrupted due to rain or low light?, Duckworth-Lewis Rule,Cricket
68,In which year did India become the second one-day cricket World Cup winner?, 2011,Cricket
69,In which country is the famous venue of the cricket game “Sharjah”?, United Arab Emirates,Cricket
70,In which game is the word ‘Beamer’ used?, Cricket,Cricket
71,The term ‘Silly Point’ is used in which game?, Cricket,Cricket
72,Whose autobiography is ‘True Colors’?, Adam Gilchrist,Cricket
73,Whose book is ‘Shane Warnes Century-My Top 100 Test Cricketers’?, Shane Warne,Cricket
74,Donald Bradman was a great player of which game?, Cricket,Cricket
75,In which book Ronald Parry describes Bradman’s ‘Dream Team’?, Bradman’s Best,Cricket
76,Mithali Raj is a famous sportsperson of which sport?, Cricket,Cricket
77,Cricketer Matthew Hayden is the player of which country?, Australia,Cricket
78,Where is the ‘Premdasa Stadium’ related to cricket located?," Colombo, Sri Lanka)",Cricket
79,Irani Trophy is related to which sport?, Cricket,Cricket
80,‘Prudential Cup’ is related to which sport?, Cricket,Cricket
81,‘Benson and Hedges Trophy’ is related to which game?, Cricket,Cricket
82,"Where is the headquarters of the International Cricket Council (ICC), the highest institution of cricket located?", Dubai,Cricket
83,Polly Umrigar was a famous sportsperson of which sport?, Cricket,Cricket
84,Which Test series of cricket is related to “Ashes Cup”?, Australia-England Test Series,Cricket
85,Who is the first cricketer to score a double century in ODI international cricket?, Sachin Tendulkar,Cricket
86,Vijay Hazare Trophy is related to which sport?, Cricket,Cricket
87,Colin Cowdrey was a famous cricketer of which country?, England,Cricket
88,Who was the first Test cricket captain of India?, C.K. Naidu,Cricket
89,Who was the first female umpire of India?, Anjali Roy,Cricket
90,Who was the first Test centurion of Indian cricket?, Lala Amarnath,Cricket
91,Which first Indian player scored a triple century in Test cricket?, Virendra Sehwag,Cricket
92,Which cricket umpire is known by the nickname ‘Great Dealer’?, Dicky Bird,Cricket
93,Who is the author of Sourav Ganguly: The Maharaja of Cricket?, Devashish Dutta,Cricket
94,"In Test cricket, who has shared the highest number of runs (576) for any wicket so far?",etween Sanat Jayasuriya and Roshan Mahanama (Sri Lanka),Cricket
95,Wankhede Stadium (Mumbai) is the famous ground of which sport?, Cricket,Cricket
96,"In ‘Supermax Cricket’, the modern version of cricket, how much time is set for each innings of 10 overs of both the teams?", 45 minutes,Cricket
97,Richard Headley was the famous cricketer of which country?, New Zealand,Cricket
98,Which magazine is called ‘Bible of Cricket’?, Wisden,Cricket
99,Which award is called ‘Oscar of cricket’?, ICC Award,Cricket
100,In which year did India become the champion of World Cup cricket for the first time?,983 AD,Cricket
101,Which sports ground is called ‘Mecca of cricket’?," Lord’s, London",Cricket
102,Who is the author of the book ‘Miracle Sachin’?, Lokesh Thani,Cricket
103,What is Rahul Dravid’s surname?," Mr. Dependable, The Wall, The Great Wall, Jammy",Cricket
104,Who was the first Indian cricketer to score a hat-trick in an international Test match?, Harbhajan Singh,Cricket
105,Who is the highest wicket taker in the history of Test cricket?, Muthiah Muralitharan,Cricket
106,​​Muttiah Muralitharan is a famous cricketer of which country?, Sri Lanka,Cricket
107,Who is the third bowler in the world to take 600 wickets in Test cricket?, Anil Kumble,Cricket
108,Who is the first cricketer to be honored with the Rajiv Gandhi Khel Ratna Award?, Sachin Tendulkar,Cricket
109,When was the first ODI Cricket World Cup held?, 1975 A.D,Cricket
110,Who was the winner of the first ODI Cricket World Cup?, West Indies,Cricket
111, ChatGPT and Generative AI,"Generative AI and OpenAI’s GPT-3 (Generative Pretrained Transformer 3) are among the important emerging technologies in the field of AI.
Generative AI refers to a subset of AI that focuses on creating new content, rather than just analyzing and recognizing existing data. This includes techniques like Generative Adversarial Networks (GANs), Variational Autoencoders (VAEs), and language models like GPT-3.",Technology
112, Digital Immune System:,"The Digital Immune System combines various practices and technologies to make critical applications more resilient to bugs. Thereby making it easier for them to recover, sustain their services, manage risks, and maintain business continuity. According to Gartner, businesses that invest in digital immunity will increase customer satisfaction by decreasing downtime by 80%.",Technology
113, Applied Observability:,"Applied Observability is the ability to penetrate deep into modern distributed systems for faster and automated problem detection and resolution. Through applied observability, you monitor the internal state of a complex system by gathering, comparing, and examining a steady stream of data and catching issues to remedy them at the earliest.",Technology
114, AI TriSM:,"AI TriSM stands for AI Trust Risk & Security Management. It ensures that AI technology does what it is intended to do in a trustworthy, fair, reliable, effective, and secure manner. Additionally, it helps to protect the exchanged data, manage governance, safeguard privacy, and detect anomalies to protect the critical functions of your enterprise.",Technology
115, Industry cloud platforms:,"Using Industry cloud platforms, companies can create more agility in how they manage their workloads. They can also accelerate changes in business processes, data interrogation, and compliance procedures. They combine platform, software, and Infrastructure as a service to fine-tune adaptability, accelerate time to value, and capture the needs of vertical industry segments.",Technology
116, Platform Engineering:,Platform engineering improves the developer experience and increases productivity through automation and self-service capabilities to speed up the delivery of apps and facilitate better collaboration between operators and software developers. It intends to modernize enterprise software delivery through reusable tools and capabilities.,Technology
