Question,Answer,Topic
 How many times India won the ODI World Cup ?, 2 times,1
 Which are the only two countries won ODI World Cup  times ?, India & West Indies,1
 Which Cricketer is known as Rawalpindi Express ?, Shoaib Akhtar,1
 Which Cricketer is Known as Little Master ?, Sunil Manohar Gavaskar,1
" Which Cricketer is known as ""Multan ka Sultan"" ?", Virender Sehwag,1
 Which is the largest International Cricket Stadium in the World ?, Motera Stadium in India,1
 Which is the smallest International Cricket Stadium in the World ?, Eden Park in New Zealand,1
 When was the First One Day International(ODI) match played ?," 5th Jan, 1971",1
 When was the First Official Test match played ?, 1877,1
 Which Country won the  ODI World Cup ?, India,1
 Which is the oldest Test Cricket playing country in the World ?, England,1
 Which is the World's Oldest Cricket Ground ?," The Lord's Cricket Stadium, England",1
 Which Country won the  ODI World Cup ?, Australia,1
 What should be the dimension of a Cricket Field ?, There is no fixed dimension for the field It usually varies between 437 feet to 500 feet,1
 Which Cricketer hit the World's Fastest  in ODI Cricket ?, AB de Viliers,1
 Which Cricketer hit the World's Fastest  in ODI Cricket ?, AB de Viliers,1
 Who is the highest wicket taker of ODI Cricket ?, Muttiah Muralitharan,1
 Which Country won the  ODI World Cup ?, Australia,1
 Who is the highest wicket taker of Test Cricket ?, Muttiah Muralitharan,1
 Who is the highest wicket taker in T Cricket ?, Lasith Malinga,1
 Which Country won the most number of World Cup Titles ?, Australia,1
 Who is the current CEO of ICC ?, Manu Shawhney,1
 Which Player won the Man of the Tournament in ICC World T ?, Virat Kohli,1
 Which country won the most number of ICC T World Cup ?, West Indies,1
 Which Cricketer made the most number of ODI Runs in  over ?, Sachin Tendulkar,1
 Which Cricketer hit the highest Test Score ?, Brian Lara,1
 Which Cricketer has the highest runs in Test Cricket ?, Sachin Tendulkar,1
 Which Country won the  ODI World Cup ?, India,1
 What was the official name of the First World Cup ?, Prudential World Cup,1
 Which Cricketer has maximum number of Sixes in ODI ?, Shahid Afridi,1
 Which country won the First World Cup in  ?, West Indies,1
 What is the England highest test score against India ?, 759/7d,1
 Who made the highest First Wicket Partnership in an ODI match ?, JD Campbell and SD Hope(West Indies),1
 Who made the highest First Wicket Partnership in a Test match ?, Graeme Smith and Neil Mckenzie(South Africa),1
 Which Country won the  ODI World Cup ?, India,1
" Which is the First Indian Player to cross , ODI runs ?", Sachin Tendulkar,1
 Which is the First Player to cross  Test Wickets ?, Courtney Walsh,1
 Who is the First Cricketer to Score a Double Century in an ODI ?, Sachin Tendulkar,1
 Who is the First Cricketer to Score a Double Century in a Test Match ?, Don Bradman,1
" Which National Cricket Team is also known as ""The Proteas"" ?", South Africa,1
 Which Country has played the maximum number of ODI matches ?, India,1
 Which Country has played the maximum number of Test matches ?, Australia,1
 Who was the First Captain of Australian Cricket Team ?, Dave Gregory,1
 Who was the First Captain of England Cricket Team ?, James Lillywhite,1
 Which Country won the  ODI World Cup ?, Sri Lanka,1
 Which Cricketer has the highest Individual score in Test Cricket ?, Brian Lara,1
 Which Cricketer has the highest Individual score in ODI Cricket ?, RG Sharma,1
 When was the First Day-Night match played ?, 1992,1
 Which Cricketer has the most number of catches in ODI cricket ?, Mahela Jayawardene,1
 Who is the First Cricketer to take a hat-trick in World Cup ?, Chetan Sharma,1
 Which is the First Cricket Club in India ?, Oriental Cricket Club,1
 Which is the First Cricket Club in Australia ?, Melbourne Cricket Club,1
 Which is the First Cricket Club in England ?, Marylebone Cricket Club,1
 Which is the First Indian Cricketer to score a triple century in Tests ?, Virendra Sehwag,1
 Which Cricketer scored First Triple Century in a Test match ?, Andy Sandham,1
 Who is the First-Ever woman appointed as a referee ?, GS Lakshmi,1
" Which Award is called ""Oscar of Cricket"" ?", ICC Award,1
" Which Magazine is called the ""Bible of Cricket"" ?", Wisden,1
 Which player has the highest stumping record in ODI matches ?, MS Dhoni,1
 Who is the First Woman to score a double century in Test Cricket ?, Kirsty Flavell,1
Which country is called the ‘father of the game of cricket’?, England,1
What is the weight of the ball used in cricket?," 155 grams, 168 grams",1
What is the circumference of a cricket ball?, 20.79 cm to 22.8 cm,1
What is the maximum permissible length of bat in cricket?, 38 inches,1
What is the height of the stump from the ground in cricket?, 28 inches,1
What is the length of a cricket pitch?, 20.12 m,1
On the basis of which rule is the decision of winning or losing in a cricket match interrupted due to rain or low light?, Duckworth-Lewis Rule,1
In which year did India become the second one-day cricket World Cup winner?, 2011,1
In which country is the famous venue of the cricket game “Sharjah”?, United Arab Emirates,1
In which game is the word ‘Beamer’ used?, Cricket,1
The term ‘Silly Point’ is used in which game?, Cricket,1
Whose autobiography is ‘True Colors’?, Adam Gilchrist,1
Whose book is ‘Shane Warnes Century-My Top 100 Test Cricketers’?, Shane Warne,1
Donald Bradman was a great player of which game?, Cricket,1
In which book Ronald Parry describes Bradman’s ‘Dream Team’?, Bradman’s Best,1
Mithali Raj is a famous sportsperson of which sport?, Cricket,1
Cricketer Matthew Hayden is the player of which country?, Australia,1
Where is the ‘Premdasa Stadium’ related to cricket located?," Colombo, Sri Lanka)",1
Irani Trophy is related to which sport?, Cricket,1
‘Prudential Cup’ is related to which sport?, Cricket,1
‘Benson and Hedges Trophy’ is related to which game?, Cricket,1
"Where is the headquarters of the International Cricket Council (ICC), the highest institution of cricket located?", Dubai,1
Polly Umrigar was a famous sportsperson of which sport?, Cricket,1
Which Test series of cricket is related to “Ashes Cup”?, Australia-England Test Series,1
Who is the first cricketer to score a double century in ODI international cricket?, Sachin Tendulkar,1
Vijay Hazare Trophy is related to which sport?, Cricket,1
Colin Cowdrey was a famous cricketer of which country?, England,1
Who was the first Test cricket captain of India?, C.K. Naidu,1
Who was the first female umpire of India?, Anjali Roy,1
Who was the first Test centurion of Indian cricket?, Lala Amarnath,1
Which first Indian player scored a triple century in Test cricket?, Virendra Sehwag,1
Which cricket umpire is known by the nickname ‘Great Dealer’?, Dicky Bird,1
Who is the author of Sourav Ganguly: The Maharaja of Cricket?, Devashish Dutta,1
"In Test cricket, who has shared the highest number of runs (576) for any wicket so far?",etween Sanat Jayasuriya and Roshan Mahanama (Sri Lanka),1
Wankhede Stadium (Mumbai) is the famous ground of which sport?, Cricket,1
"In ‘Supermax Cricket’, the modern version of cricket, how much time is set for each innings of 10 overs of both the teams?", 45 minutes,1
Richard Headley was the famous cricketer of which country?, New Zealand,1
Which magazine is called ‘Bible of Cricket’?, Wisden,1
Which award is called ‘Oscar of cricket’?, ICC Award,1
In which year did India become the champion of World Cup cricket for the first time?,983 AD,1
Which sports ground is called ‘Mecca of cricket’?," Lord’s, London",1
Who is the author of the book ‘Miracle Sachin’?, Lokesh Thani,1
What is Rahul Dravid’s surname?," Mr. Dependable, The Wall, The Great Wall, Jammy",1
Who was the first Indian cricketer to score a hat-trick in an international Test match?, Harbhajan Singh,1
Who is the highest wicket taker in the history of Test cricket?, Muthiah Muralitharan,1
​​Muttiah Muralitharan is a famous cricketer of which country?, Sri Lanka,1
Who is the third bowler in the world to take 600 wickets in Test cricket?, Anil Kumble,1
Who is the first cricketer to be honored with the Rajiv Gandhi Khel Ratna Award?, Sachin Tendulkar,1
When was the first ODI Cricket World Cup held?, 1975 A.D,1
Who was the winner of the first ODI Cricket World Cup?, West Indies,1
. Android Instant Apps are on the rise,Android app developers or people who have an app available on the Google Play Store have probably heard of Android Instant Apps.,2
. Mobile artificial intelligence,"In , we are one step closer to robots taking over the world. Iâ€™m kidding, of course.",2
. Mobile security,Businesses need to start prioritizing mobile security to protect user information and make sure that all transactions are safe.,2
. Geofencing and location-based services,"Itâ€™s no secret that mobile apps are tracking the location of their users. In fact, users are giving them permission to do so.",2
. Mobile applications for small businesses,Mobile applications are no longer just for the giant companies anymore. Any business in any industry needs to have a mobile app. It doesnâ€™t matter how big or small your company is.,2
. Augmented reality will be incorporated into more apps,More mobile apps will adapt to augmented reality in .,2
. Apps built for transportation are evolving,Transportation apps are changing.,2
. Mobile app revenue is on the rise,The Google Play Store and the Apple App Store both saw a major increase in app revenue last year. What caused this?,2
. Wearable technology being paired with mobile apps,In  weâ€™ll see an increase of wearable mobile tech. Iâ€™m talking about things like:,2
. People will control their homes with a mobile app,More consumers are going to use mobile tech to improve their experience in their homes.,2
. Cross platform mobile development,Mobile app developers who want to launch their app for Android and iOS devices will start to take advantage of cross platform mobile application development tools.,2
. Mobile payments are on the rise,"With an increase in global app revenue as well as a more positive outlook on mobile security, mobile payments will be on the rise in .",2
. Virtual reality apps,Earlier we discussed augmented reality apps. But virtual reality will continue to grow in  as well.,2
. Biometrics,Biometrics are officially part of the mobile application world.,2
. Cloud-based technology,"Based on researchÂ and expert predictions, the cloud market is growing at a rate of % CAGR.",2
. Personalization is still king,One thing that wonâ€™t change in  is personalization.,2
. BYOD,"In the past, businesses didnâ€™t want employees to use their own computers, laptops, phones, tablets, and other mobile devices for work. Hereâ€™s why businesses were hesitant in the past to adapt to the bring your own deviceÂ concept.",2
. In-App Gestures,Touch has now become a norm in the mobile app space. ,2
. Minimalistic Interface,"A faster, easy to load app must be easy on the usersâ€™ eyes as well. ",2
. User On-boarding,"The impression that the app users get, the first time they use an app, decides its fate with that user. An out-of-the box on-boarding experience is crucial for the success of the app. When the user comes on-board, it is their first tryst with the app and if you can sell the application at this time, the task is done.",2
. User Off-boarding,"Every story has an ending that should be equally inviting. Provide your users with a happy passage while exiting the app. For example, if itâ€™s a gaming application, you can tell them about the points they have accumulated in the completed session. You can congratulate them and motivate them to come back again for more action. A pleasant off-boarding experience will surely get the user to talk about the app and get you word-of-mouth publicity.",2
. Internet of Things,The Internet of Things technology has been around for a while and has added tremendous value to businesses globally.,2
. Animated and Motion Based Design,Motion based design adds to the delight of the users. Animations are used to communicate the story behind each feature and functionality.,2
